video_id,clip_channel_id,clip_channel_title,source_member_ko,source_member_en,unit,title,published_at,views,likes,comments,clip_channel_subs
DnA-6PkQw5M,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】韓国の抹茶スイーツと謎の「刻み青キノコ」ラーメンについて語る風夜さん【ステライブ切り抜き/日韓字幕】,2025-12-01T11:15:09Z,4853,188.0,23.0,4400
QjefkooPtyI,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】つららと髪の毛が気になってしまうフヤさん【ステライブ切り抜き/日韓字幕】,2026-02-09T12:15:03Z,3069,133.0,14.0,4400
zr6oTd07kEo,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】糖質を見てしまい、幸せな干し芋タイムが一瞬で崩れ去るフヤさん【ステライブ切り抜き/日韓字幕】,2026-06-19T12:05:38Z,13727,404.0,34.0,4400
jHLWWIdfCN0,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,사키하네 후야,Sakihane Huya,EVERYS,ぼっち風夜さんは集団生活が苦手だ [咲羽風夜 切り抜き],2025-12-22T22:53:06Z,106,2.0,2.0,10
TdfMi4h8_1I,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】フヤさんのいつか叶えたい夢【ステライブ切り抜き/日韓字幕】,2026-07-07T12:05:22Z,1399,88.0,6.0,4400
TdNrwY63TjM,UCxOe0PDvhNL6gmuzSO88Z7Q,すてら日和,사키하네 후야,Sakihane Huya,EVERYS,【咲羽 風夜】ハンバーガーの悩みを語るフヤさん【ステライブ切り抜き/日韓字幕】,2026-05-27T12:00:06Z,3152,142.0,15.0,4400
tTXkdYO9IlY,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,사키하네 후야,Sakihane Huya,EVERYS,速すぎてパソコンが耐えられなかった　[咲羽風夜 切り抜き],2025-11-05T13:34:59Z,38,2.0,0.0,10
GbZTLTw8XtY,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,사키하네 후야,Sakihane Huya,EVERYS,🎄このクリスマス、いちばんかわいい動画🐰✨[咲羽風夜 切り抜き],2025-11-05T14:56:47Z,1666,19.0,0.0,10
62praehjZI0,UCzWokoAfINJ4fouvKpclz5Q,네코 시로,시라유키 히나,Shirayuki Hina,UNIVERSE,히나가 운영하는 키리누키 채널이 있다?!,2026-02-28T02:13:54Z,60497,1092.0,93.0,1620
6Mq2pfgxTMo,UC2acHa6zvsnTo4P9OfNk4jQ,피엔나 소세지,시라유키 히나,Shirayuki Hina,UNIVERSE,[히나 클립] 공업용 F 인정 못 해,2026-03-25T10:00:06Z,3769,97.0,12.0,10100
