date,name_ko,group,subscribers,recent_avg_views,recent_avg_engagement_rate,uploads_per_week,reach_ratio
2026-08-16,네네코 마시로,StelLive,180000,91716.2,0.05019,1.9,0.51
2026-08-16,릴파,이세계아이돌,428000,91192.6,0.0642,7.0,0.213
2026-08-16,모리 캘리오프,홀로라이브,2620000,208832.9,0.09348,5.21,0.08
2026-08-16,모모스즈 네네,홀로라이브,1330000,116447.8,0.08271,3.5,0.088
2026-08-16,비챤,이세계아이돌,326000,46002.7,0.08892,7.0,0.141
2026-08-16,사키하네 후야,StelLive,130000,108868.4,0.04359,3.44,0.837
2026-08-16,시라유키 히나,StelLive,320000,145178.3,0.03914,3.56,0.454
2026-08-16,아라하시 타비,StelLive,256000,181984.6,0.03846,3.83,0.711
2026-08-16,아야츠노 유니,StelLive,359000,124793.9,0.03906,2.9,0.348
2026-08-16,아이네,이세계아이돌,359000,132414.5,0.05035,1.75,0.369
2026-08-16,아카네 리제,StelLive,349000,269755.3,0.04143,5.34,0.773
2026-08-16,우사다 페코라,홀로라이브,2790000,253298.6,0.04996,7.81,0.091
2026-08-16,이누가미 코로네,홀로라이브,2280000,198778.5,0.05967,3.62,0.087
2026-08-16,주르르,이세계아이돌,411000,83152.1,0.05974,1.8,0.202
2026-08-16,징버거,이세계아이돌,421000,125158.4,0.05477,4.23,0.297
2026-08-16,호쇼 마린,홀로라이브,4410000,665868.3,0.07066,8.46,0.151
2026-08-17,가우르 구라,홀로라이브,4610000,1253680.0,0.07279,0.8,0.272
2026-08-17,고세구,이세계아이돌,537000,95299.4,0.05874,4.14,0.177
