comment_id,video_id,name_ko,name_en,unit,text,like_count,published_at,text_len,sid
UgyKQomlzkP1XEnMfUZ4AaABAg,5YakLR9sQfw,유즈하 리코,Yuzuha Riko,CLICHE,진짜 그냥 캥쳐퀴여움 ㅋㅋㅋㅋ,199,2026-07-08T06:19:49Z,16,208
UgygrWdaVEfFYtQHBU14AaABAg,yqkYpiIwYl0,아라하시 타비,Arahashi Tabi,UNIVERSE,진짜 제 소원이니까 해줘요,198,2026-07-04T04:03:47Z,14,209
Ugz1nW4mO0GTX5IP6JN4AaABAg,UoeqQ79OhJk,하나코 나나,Hanako Nana,CLICHE,"작아서 카메라가 내려가는게 귀엽네
검은색이당~",194,2026-07-11T04:06:04Z,25,210
Ugy_XS5MuoMCHL_AouJ4AaABAg,6y-jHz_1r1Y,유즈하 리코,Yuzuha Riko,CLICHE,리코님 유니님 복장 자주 입어주세요 감사합니다,191,2026-07-18T06:17:25Z,25,211
Ugze83CjWBhhiR7EFvZ4AaABAg,P_oxx3_VpIY,유즈하 리코,Yuzuha Riko,CLICHE,크하하하 악당 등장! 🍀,190,2026-07-24T09:34:11Z,13,212
Ugx6OvErXmjg41swJTR4AaABAg,Uuf2oipmXHg,텐코 시부키,Tenko Shibuki,CLICHE,"사실 타비가 청초해진 이우는 ""나 선배 후배""에 대항하기 위해서다",189,2026-07-11T07:27:53Z,36,213
UgyanTTFSlZ1wWRd_hl4AaABAg,xKYey53VI1U,시라유키 히나,Shirayuki Hina,UNIVERSE,"자시안 한카리아스 달투곰
전쟁나감? 세계대전급이네 ㅋㅋ",188,2026-07-12T07:18:46Z,30,214
UgwoK7-X5NSahQ0_d7d4AaABAg,wO7pHjlBdz4,텐코 시부키,Tenko Shibuki,CLICHE,부키는 마음이 없어서 줄게 없다네요~,188,2026-07-24T08:06:58Z,20,215
UgxrgzFipIVW2CJrZK14AaABAg,aUVF5Tw9lz4,하나코 나나,Hanako Nana,CLICHE,부키 들어갈때는 입모양 3 였는데 나올때는 스위치 부셔져서 ^ 인거 개웃기네 ㅋㅋㅋㅋ,186,2026-07-08T08:58:39Z,47,216
Ugy8lnoz-i3zFYcHb8h4AaABAg,IVDQWVfrKwA,사키하네 후야,Sakihane Huya,EVERYS,2천년의 마룡은 무서울게 많지만 강지를 잘 다룬다,183,2026-06-30T22:15:52Z,27,217
UgzNqvVbLgGFYyhUWfd4AaABAg,3Y7Ek6YSGPE,아카네 리제,Akane Lize,UNIVERSE,콘서트 준비하면서 커버곡 까지 끊임없이 찍어내는...역시 우리 천마님이느뇨!!,182,2026-07-04T11:56:39Z,43,218
UgxsCsyHIfIwjuAdZkF4AaABAg,NMqafFZBz30,아오쿠모 린,Aokumo Rin,CLICHE,린이 정상적인 행동을 하다니,180,2026-07-26T07:47:56Z,15,219
UgwSFtQuqpBej0olS8h4AaABAg,jvZRK7W7S9Y,하나코 나나,Hanako Nana,CLICHE,"와 진짜 이건 나나를 위한 그냥 나나 노래다..
재즈를 진짜 너무 잘부른다
너무 잘 어울려서 계속 듣게되네",175,2026-07-27T09:30:49Z,59,220
Ugzq1pRqlfbt7RJOz8x4AaABAg,_GtqXRMM9ik,아야츠노 유니,Ayatsuno Yuni,EVERYS,"6:02 본능이 거부하는 채찍 ㅋㅋㅋㅋ
말 채찍질 ㅋㅋㅋㅋ",175,2026-06-25T14:28:59Z,32,221
UgyJvtgvwt0H3OBCNEZ4AaABAg,ZYSQLv_L26Y,아오쿠모 린,Aokumo Rin,CLICHE,"3:10 마지막 ""지치시거든, 언제든 미쳐보시길!"" 할 떄 진짜 홀려서 멍...하고 쳐다봄 ( 린아 첫 오리진 곡 축하해!!!!! )",170,2026-07-27T10:13:08Z,74,222
UgycZLqb5oVrW-DthqB4AaABAg,ZYSQLv_L26Y,아오쿠모 린,Aokumo Rin,CLICHE,의외로 생각한것보다 퀄 레전드라서 놀랐으면 개추 ㅋㅋ,170,2026-07-27T09:33:58Z,29,223
UgwQd5-lUirKckEGvzJ4AaABAg,KxG2L57W0SQ,아라하시 타비,Arahashi Tabi,UNIVERSE,이게 치팅데이라는 건가,163,2026-06-29T08:19:12Z,12,224
UgwkfzEMP4_Gjg8pt3x4AaABAg,_GtqXRMM9ik,아야츠노 유니,Ayatsuno Yuni,EVERYS,13:05 이런거 하면 항상 엔딩은 비질게 엔딩이네 ㅋㅋ,163,2026-06-25T09:12:12Z,31,225
Ugz3GF1uInRycW7dmqZ4AaABAg,1tnc3DNZfoc,아야츠노 유니,Ayatsuno Yuni,EVERYS,유니유니야 롯데 자이언츠라고 해서 요미우리 자이언츠 생각하면 오산이다!!,160,2026-06-16T10:51:11Z,40,226
Ugzo6KrADNREYErZjwN4AaABAg,nsZmnwC9ukE,텐코 시부키,Tenko Shibuki,CLICHE,"이거 듣고 도깨비꽃 다시 들어보니까 부키가 탁님에게 도깨비꽃때보다 성장했다고 들었다는 말이 뭔지 알겠네..
진짜 잘 성장했다 정부키ㅋㅋㅋ",158,2026-07-25T10:18:03Z,76,227
UgxZrk0L-9gHt221Ss14AaABAg,1tnc3DNZfoc,아야츠노 유니,Ayatsuno Yuni,EVERYS,"유니야... 롯데 팬이다...
응원하면 고혈압으로 빨리 디진다...
진짜 아니다...",153,2026-06-16T09:56:29Z,47,228
Ugxnwdk7PQS2OvRIf7R4AaABAg,TTHSIecBzhg,아카네 리제,Akane Lize,UNIVERSE,쉽지 않아 보이지만 다 같이 하면 저런 게 또 꿀잼이란 말이지 ㅋㅋㅋㅋㅋㅋㅋㅋ,151,2026-07-10T05:49:03Z,43,229
UgzUFLL19RRjsaxdwll4AaABAg,I88_TyumGqQ,아오쿠모 린,Aokumo Rin,CLICHE,저게 진짜 리코때문에 다다다다다다ㅏㄷ다다 살짝 미쳐봐로 들린다고,147,2026-07-28T12:57:35Z,35,230
UgzG2ynO53OvEfqT0iF4AaABAg,39_zaFVluAw,아라하시 타비,Arahashi Tabi,UNIVERSE,"타비야 외적으로든 내적으로든 뭔가 변화가 생길때마다 뿡댕이가 좋아해줄까 걱정하는 마음도 이해하지만 니가 타비라는건 바뀌지않아

뿡댕이들이 타비의 일부 면을 보고 입덕을 했다하더라도 결국 좋아하게 되고 응원하게 되는 사람은 타비 너 자체니까

그러니 앞으로는 개쭈글해하면서 멘헤라오지말고 ""쇼발 내가 이런다고 니가 날 싫어할수 있겠어? 넌 결국 구불육일 뿐이야"" 하는 마인드를 장착하도록하자",145,2026-06-20T15:53:24Z,217,231
UgwJlzAuhJmTlGJfMDR4AaABAg,y1nUYj_D1Es,아오쿠모 린,Aokumo Rin,CLICHE,1:59 여기 린 3D 데뷔 영상이네 ㅋㅋ,145,2026-06-28T10:13:54Z,23,232
Ugwvs9mEwhzvOn-dhF54AaABAg,D9OEykMduEU,아카네 리제,Akane Lize,UNIVERSE,진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 태극듀오 아니랄까봐ㅋㅋㅋ,139,2026-07-11T05:46:50Z,25,233
UgxwFNZkzTRnIuhTb9h4AaABAg,FFe9FMdemO8,시라유키 히나,Shirayuki Hina,UNIVERSE,입 벌리고 손 위 아래로 휘적이는거 귀엽네 ㅋㅋ,136,2026-06-16T05:18:49Z,26,234
UgwpicH6L_1F5_Baz9p4AaABAg,bHeNo0qY2iI,하나코 나나,Hanako Nana,CLICHE,"하수: ㅋㅋㅋ 드릴공명
고수: 다음 신 의상 드릴로리구나",135,2026-06-29T09:49:03Z,31,235
UgzDtqWd1Bc1SyTfIl14AaABAg,yY_Al_ZYnvA,네네코 마시로,Neneko Mashiro,UNIVERSE,4:40 편집 개맛있네 ㅋㅋㅋㅋㅋ 후야 렙보소 ㅋㅋㅋ,135,2026-07-05T10:08:57Z,29,236
